Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
kova-svj,KOVA // SVJ,"<p><strong>For the ones who don't just admire cars — they live them.</strong></p>
<p>A precision-cut metal silhouette inspired by the Aventador SVJ, designed to bring automotive obsession into your space.</p>
<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 7"" / 68.6 × 17.8 cm</li><li><strong>Signature Edition</strong> — 37"" × 9.45"" / 94.0 × 24.0 cm</li><li><strong>Collector's Edition</strong> — 47"" × 11.5"" / 119.4 × 29.2 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-SVJ-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // SVJ — precision-cut metal artwork,"SVJ silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
kova-svj,,,,,,,,Signature Edition,KOVA-SVJ-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-svj,,,,,,,,Collector's Edition,KOVA-SVJ-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
kova-porsche,KOVA // PORSCHE,"<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 7.8"" / 68.6 × 19.8 cm</li><li><strong>Signature Edition</strong> — 37"" × 10.5"" / 94.0 × 26.7 cm</li><li><strong>Collector's Edition</strong> — 47"" × 13.3"" / 119.4 × 33.8 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-PORSCHE-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // PORSCHE — precision-cut metal artwork,"PORSCHE silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
kova-porsche,,,,,,,,Signature Edition,KOVA-PORSCHE-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-porsche,,,,,,,,Collector's Edition,KOVA-PORSCHE-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
kova-amg,KOVA // AMG,"<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 7.5"" / 68.6 × 19.1 cm</li><li><strong>Signature Edition</strong> — 37"" × 9.5"" / 94.0 × 24.1 cm</li><li><strong>Collector's Edition</strong> — 47"" × 11.9"" / 119.4 × 30.2 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-AMG-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // AMG — precision-cut metal artwork,"AMG silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
kova-amg,,,,,,,,Signature Edition,KOVA-AMG-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-amg,,,,,,,,Collector's Edition,KOVA-AMG-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
kova-mclaren,KOVA // McLAREN,"<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 7.2"" / 68.6 × 18.3 cm</li><li><strong>Signature Edition</strong> — 37"" × 9.5"" / 94.0 × 24.1 cm</li><li><strong>Collector's Edition</strong> — 47"" × 12.1"" / 119.4 × 30.7 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-MCLAREN-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // McLAREN — precision-cut metal artwork,"McLAREN silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
